unixtime,datetime,temperature,humidity
1485874801.97,"2017/02/01 00:00:01",21.432822,24.762341
1485875101.31,"2017/02/01 00:05:01",21.432822,24.859998
1485875401.3,"2017/02/01 00:10:01",21.402609,26.111238
1485875701.43,"2017/02/01 00:15:01",21.432822,26.977951
1485876001.31,"2017/02/01 00:20:01",21.372396,26.678874
1485876302.16,"2017/02/01 00:25:02",21.332113,26.001373
1485876601.39,"2017/02/01 00:30:01",21.372396,28.412299
1485876902.23,"2017/02/01 00:35:02",21.332113,26.868086
1485877202.08,"2017/02/01 00:40:02",21.332113,28.699168
1485877501.5,"2017/02/01 00:45:01",21.332113,28.992142
1485877801.3,"2017/02/01 00:50:01",21.332113,29.565881
1485878101.88,"2017/02/01 00:55:01",21.362325,28.314641
1485878401.69,"2017/02/01 01:00:01",21.271687,29.858854
1485878701.45,"2017/02/01 01:05:01",21.271687,29.565881
1485879001.59,"2017/02/01 01:10:01",21.291829,30.341039
1485879302.26,"2017/02/01 01:15:02",21.241474,29.474327
1485879602.15,"2017/02/01 01:20:02",21.20119,29.761196
1485879902.04,"2017/02/01 01:25:02",21.251545,28.992142
1485880201.71,"2017/02/01 01:30:01",21.211261,29.761196
1485880502.19,"2017/02/01 01:35:02",21.120623,30.432593
1485880801.92,"2017/02/01 01:40:01",21.181048,30.530251
1485881101.61,"2017/02/01 01:45:01",21.211261,31.879149
1485881401.32,"2017/02/01 01:50:01",21.170977,31.299306
1485881701.99,"2017/02/01 01:55:01",21.150835,31.110094
1485882001.6,"2017/02/01 02:00:01",21.140764,32.263676
1485882301.27,"2017/02/01 02:05:01",21.110552,31.207752
1485882601.76,"2017/02/01 02:10:01",21.110552,32.745861
1485882902.11,"2017/02/01 02:15:02",21.060197,32.458991
1485883201.56,"2017/02/01 02:20:01",21.060197,33.228046
1485883501.25,"2017/02/01 02:25:01",21.060197,31.976806
1485883801.98,"2017/02/01 02:30:01",21.029984,32.361334
1485884101.48,"2017/02/01 02:35:01",21.060197,33.710231
1485884402.2,"2017/02/01 02:40:02",20.999771,32.745861
1485884702.03,"2017/02/01 02:45:02",21.029984,33.423362
1485885002.24,"2017/02/01 02:50:02",20.9897,33.594263
1485885302.2,"2017/02/01 02:55:02",20.949416,33.020523
1485885601.68,"2017/02/01 03:00:01",20.999771,34.381628
1485885902.12,"2017/02/01 03:05:02",20.959487,34.369421
1485886201.21,"2017/02/01 03:10:01",20.959487,34.369421
1485886502.0,"2017/02/01 03:15:01",20.949416,34.369421
1485886801.58,"2017/02/01 03:20:01",20.949416,34.174105
1485887101.3,"2017/02/01 03:25:01",20.919203,34.460975
1485887401.25,"2017/02/01 03:30:01",20.929274,34.656291
1485887701.8,"2017/02/01 03:35:01",20.949416,34.845502
1485888002.22,"2017/02/01 03:40:02",20.868849,34.656291
1485888301.4,"2017/02/01 03:45:01",20.838636,34.174105
1485888602.09,"2017/02/01 03:50:02",20.808423,35.425345
1485888901.84,"2017/02/01 03:55:01",20.808423,34.460975
1485889201.87,"2017/02/01 04:00:01",20.747997,35.90753
1485889501.62,"2017/02/01 04:05:01",20.818494,35.809873
1485889801.41,"2017/02/01 04:10:01",20.798352,35.523003
1485890101.95,"2017/02/01 04:15:01",20.768139,35.425345
1485890401.82,"2017/02/01 04:20:01",20.747997,35.138476
1485890701.51,"2017/02/01 04:25:01",20.687572,34.460975
1485891002.23,"2017/02/01 04:30:02",20.697642,35.040818
1485891302.09,"2017/02/01 04:35:02",20.717784,34.845502
1485891601.78,"2017/02/01 04:40:01",20.647288,34.845502
1485891901.3,"2017/02/01 04:45:01",20.66743,35.523003
1485892202.21,"2017/02/01 04:50:02",20.586862,34.63798
1485892501.39,"2017/02/01 04:55:01",20.647288,35.620661
1485892801.83,"2017/02/01 05:00:01",20.596933,35.60235
1485893101.51,"2017/02/01 05:05:01",20.546578,35.407034
1485893402.03,"2017/02/01 05:10:02",20.506294,35.407034
1485893702.18,"2017/02/01 05:15:02",20.546578,35.791562
1485894001.71,"2017/02/01 05:20:01",20.546578,36.273747
1485894301.49,"2017/02/01 05:25:01",20.516365,35.88922
1485894602.18,"2017/02/01 05:30:02",20.496223,35.791562
1485894901.58,"2017/02/01 05:35:01",20.496223,35.700008
1485895201.26,"2017/02/01 05:40:01",20.435798,36.273747
1485895501.97,"2017/02/01 05:45:01",20.466011,35.504692
1485895802.22,"2017/02/01 05:50:02",20.415656,36.084535
1485896101.63,"2017/02/01 05:55:01",20.405585,35.88922
1485896401.38,"2017/02/01 06:00:01",20.345159,36.273747
1485896702.18,"2017/02/01 06:05:02",20.345159,36.084535
1485897001.31,"2017/02/01 06:10:01",20.314946,35.88922
1485897301.82,"2017/02/01 06:15:01",20.294804,36.469062
1485897601.67,"2017/02/01 06:20:01",20.365301,36.084535
1485897901.44,"2017/02/01 06:25:01",20.294804,36.273747
1485898201.59,"2017/02/01 06:30:01",20.25452,35.407034
1485898501.22,"2017/02/01 06:35:01",20.314946,36.176089
1485898801.32,"2017/02/01 06:40:01",20.365301,36.371405
1485899101.58,"2017/02/01 06:45:01",20.184024,34.735637
1485899401.4,"2017/02/01 06:50:01",20.325017,34.540322
1485899701.99,"2017/02/01 06:55:01",20.435798,35.022507
1485900002.21,"2017/02/01 07:00:02",20.496223,34.833295
1485900301.73,"2017/02/01 07:05:01",20.657359,35.620661
1485900601.42,"2017/02/01 07:10:01",20.808423,35.236133
1485900902.08,"2017/02/01 07:15:02",20.798352,35.523003
1485901201.41,"2017/02/01 07:20:01",20.87892,36.389715
1485901502.2,"2017/02/01 07:25:02",20.959487,36.578927
1485901801.6,"2017/02/01 07:30:01",21.170977,37.659266
1485902101.37,"2017/02/01 07:35:01",21.271687,38.525978
1485902402.24,"2017/02/01 07:40:02",21.372396,38.623636
1485902701.72,"2017/02/01 07:45:01",21.452964,39.124132
1485903001.89,"2017/02/01 07:50:01",21.452964,38.159762
1485903301.9,"2017/02/01 07:55:01",21.452964,37.775235
1485903601.68,"2017/02/01 08:00:01",21.452964,37.775235
1485903901.39,"2017/02/01 08:05:01",21.452964,37.390707
1485904201.59,"2017/02/01 08:10:01",21.463035,37.097734
1485904501.35,"2017/02/01 08:15:01",21.463035,37.195392
1485904801.33,"2017/02/01 08:20:01",21.543603,36.908522
1485905102.15,"2017/02/01 08:25:02",21.543603,36.328679
1485905401.38,"2017/02/01 08:30:01",21.553674,36.713207
1485905701.21,"2017/02/01 08:35:01",21.644312,36.908522
1485906001.95,"2017/02/01 08:40:01",21.664454,36.908522
1485906301.94,"2017/02/01 08:45:01",21.694667,36.908522
1485906601.9,"2017/02/01 08:50:01",21.734951,37.097734
1485906901.57,"2017/02/01 08:55:01",21.775235,37.579919
1485907201.31,"2017/02/01 09:00:01",21.875944,37.695888
1485907501.97,"2017/02/01 09:05:01",21.906157,37.695888
1485907801.81,"2017/02/01 09:10:01",22.178073,38.080415
1485908101.52,"2017/02/01 09:15:01",21.926299,38.178073
1485908401.9,"2017/02/01 09:20:01",21.83566,37.213703
1485908701.66,"2017/02/01 09:25:01",21.946441,37.31136
1485909001.29,"2017/02/01 09:30:01",22.037079,37.409018
1485909301.97,"2017/02/01 09:35:01",22.077363,37.31136
1485909602.16,"2017/02/01 09:40:02",22.037079,37.213703
1485909901.97,"2017/02/01 09:45:01",22.037079,37.116045
1485910201.78,"2017/02/01 09:50:01",22.228428,36.749828
1485910501.26,"2017/02/01 09:55:01",22.329137,36.749828
1485910802.03,"2017/02/01 10:00:02",22.349279,36.365301
1485911101.78,"2017/02/01 10:05:01",22.480201,36.847486
1485911401.31,"2017/02/01 10:10:01",22.590982,37.061112
1485911701.79,"2017/02/01 10:15:01",22.621195,35.999084
1485912001.72,"2017/02/01 10:20:01",22.590982,35.126268
1485912301.47,"2017/02/01 10:25:01",22.510414,34.338903
1485912602.18,"2017/02/01 10:30:02",22.550698,34.534218
1485912901.83,"2017/02/01 10:35:01",22.681621,34.454871
1485913201.57,"2017/02/01 10:40:01",22.832685,33.875029
1485913501.73,"2017/02/01 10:45:01",22.913252,33.295186
1485913801.4,"2017/02/01 10:50:01",22.872969,33.484398
1485914101.25,"2017/02/01 10:55:01",22.812543,33.197528
1485914401.82,"2017/02/01 11:00:01",22.842756,32.715343
1485914701.57,"2017/02/01 11:05:01",22.832685,33.002213
1485915001.34,"2017/02/01 11:10:01",22.842756,32.910658
1485915301.79,"2017/02/01 11:15:01",22.88304,32.715343
1485915602.11,"2017/02/01 11:20:02",22.99382,32.825208
1485915902.04,"2017/02/01 11:25:02",23.034104,32.538338
1485916201.85,"2017/02/01 11:30:01",23.054246,32.538338
1485916501.37,"2017/02/01 11:35:01",23.104601,32.538338
1485916801.62,"2017/02/01 11:40:01",23.104601,32.733654
1485917102.1,"2017/02/01 11:45:02",23.215381,32.440681
1485917401.88,"2017/02/01 11:50:01",23.366445,32.263676
1485917702.19,"2017/02/01 11:55:02",23.245594,32.440681
1485918002.04,"2017/02/01 12:00:02",23.356374,32.648203
1485918301.44,"2017/02/01 12:05:01",23.678645,32.745861
1485918602.22,"2017/02/01 12:10:02",23.829709,32.764172
1485918901.4,"2017/02/01 12:15:01",23.809567,32.764172
1485919201.34,"2017/02/01 12:20:01",23.880064,32.86183
1485919501.78,"2017/02/01 12:25:01",24.05127,32.86183
1485919801.98,"2017/02/01 12:30:01",24.131838,33.16701
1485920101.95,"2017/02/01 12:35:01",24.081483,33.344015
1485920401.74,"2017/02/01 12:40:01",24.111696,33.45388
1485920701.31,"2017/02/01 12:45:01",23.980774,33.441672
1485921001.41,"2017/02/01 12:50:01",24.05127,33.441672
1485921302.14,"2017/02/01 12:55:02",24.081483,33.246357
1485921602.13,"2017/02/01 13:00:02",24.021057,33.441672
1485921901.85,"2017/02/01 13:05:01",24.081483,32.764172
1485922202.0,"2017/02/01 13:10:02",23.859922,32.281987
1485922502.19,"2017/02/01 13:15:02",23.859922,32.184329
1485922802.11,"2017/02/01 13:20:02",23.859922,31.799802
1485923101.83,"2017/02/01 13:25:01",23.859922,31.219959
1485923401.29,"2017/02/01 13:30:01",23.829709,31.604486
1485923702.11,"2017/02/01 13:35:02",23.83978,31.506828
1485924001.25,"2017/02/01 13:40:01",23.829709,31.702144
1485924301.5,"2017/02/01 13:45:01",23.859922,31.989014
1485924602.22,"2017/02/01 13:50:02",23.880064,31.989014
1485924902.04,"2017/02/01 13:55:02",23.880064,32.184329
1485925201.28,"2017/02/01 14:00:01",23.930419,32.184329
1485925502.03,"2017/02/01 14:05:02",23.920348,32.184329
1485925801.41,"2017/02/01 14:10:01",23.930419,32.086671
1485926101.29,"2017/02/01 14:15:01",23.980774,32.086671
1485926401.62,"2017/02/01 14:20:01",23.980774,30.634012
1485926701.35,"2017/02/01 14:25:01",24.031128,31.506828
1485927001.79,"2017/02/01 14:30:01",24.081483,31.409171
1485927302.13,"2017/02/01 14:35:02",24.031128,31.024643
1485927601.87,"2017/02/01 14:40:01",23.990845,31.122301
